symbol	evidence	note	source
HLA-DRB1	GWAS	shared-epitope alleles; strongest RA locus	curated (Claude knowledge; unverified)
PTPN22	GWAS	R620W missense; T-cell signalling	curated (Claude knowledge; unverified)
STAT4	GWAS	cytokine signalling	curated (Claude knowledge; unverified)
TRAF1	GWAS	TRAF1-C5 locus	curated (Claude knowledge; unverified)
C5	GWAS	TRAF1-C5 locus; complement	curated (Claude knowledge; unverified)
CTLA4	GWAS	T-cell co-stimulation; abatacept is CTLA4-Ig	curated (Claude knowledge; unverified)
CD28	GWAS	T-cell co-stimulation	curated (Claude knowledge; unverified)
CD40	GWAS	B-cell / APC co-stimulation	curated (Claude knowledge; unverified)
TNFAIP3	GWAS	A20; NF-kB negative regulator	curated (Claude knowledge; unverified)
TNFRSF14	GWAS	HVEM	curated (Claude knowledge; unverified)
PADI4	GWAS	citrullination; East Asian association	curated (Claude knowledge; unverified)
CCR6	GWAS	Th17 chemokine receptor	curated (Claude knowledge; unverified)
IL2RA	GWAS	Treg / T-cell	curated (Claude knowledge; unverified)
IL2RB	GWAS	T-cell	curated (Claude knowledge; unverified)
IRF5	GWAS	interferon regulatory factor	curated (Claude knowledge; unverified)
REL	GWAS	NF-kB subunit	curated (Claude knowledge; unverified)
BLK	GWAS	B-cell kinase	curated (Claude knowledge; unverified)
AFF3	GWAS	lymphoid transcription factor	curated (Claude knowledge; unverified)
CD2	GWAS	CD2-CD58 locus	curated (Claude knowledge; unverified)
CD58	GWAS	CD2-CD58 locus	curated (Claude knowledge; unverified)
CCL21	GWAS	lymphoid chemokine	curated (Claude knowledge; unverified)
PRKCQ	GWAS	T-cell PKC-theta	curated (Claude knowledge; unverified)
IL6ST	GWAS	gp130; IL-6 signalling	curated (Claude knowledge; unverified)
TYK2	GWAS; clinical_trial	protective P1104A variant; TYK2 inhibitors in trials	curated (Claude knowledge; unverified)
ANKRD55	GWAS	ANKRD55-IL6ST locus	curated (Claude knowledge; unverified)
RBPJ	GWAS	Notch signalling	curated (Claude knowledge; unverified)
CDK6	GWAS	cell cycle	curated (Claude knowledge; unverified)
SPRED2	GWAS	MAPK regulator	curated (Claude knowledge; unverified)
PTPRC	GWAS	CD45	curated (Claude knowledge; unverified)
FCGR2A	GWAS	Fc gamma receptor	curated (Claude knowledge; unverified)
FCRL3	GWAS	Fc receptor-like; East Asian	curated (Claude knowledge; unverified)
IL21	GWAS	Tfh cytokine	curated (Claude knowledge; unverified)
TAGAP	GWAS	T-cell activation GTPase	curated (Claude knowledge; unverified)
CD247	GWAS	CD3 zeta	curated (Claude knowledge; unverified)
GATA3	GWAS	T-cell transcription factor	curated (Claude knowledge; unverified)
RUNX1	GWAS	haematopoietic transcription factor	curated (Claude knowledge; unverified)
ETS1	GWAS	transcription factor	curated (Claude knowledge; unverified)
IKZF3	GWAS	Aiolos	curated (Claude knowledge; unverified)
ARID5B	GWAS	transcription regulator	curated (Claude knowledge; unverified)
TNFRSF9	GWAS	4-1BB	curated (Claude knowledge; unverified)
IL10	GWAS	anti-inflammatory cytokine (opposite direction for inhibition)	curated (Claude knowledge; unverified)
