symbol	evidence	note	source
AKT1	clinical_trial	capivasertib; phase 3 positive in PTEN-deficient disease	curated (Claude knowledge; unverified)
PTEN	somatic	frequently lost; PI3K pathway activation	curated (Claude knowledge; unverified)
TP53	somatic	frequent in advanced disease	curated (Claude knowledge; unverified)
RB1	somatic	loss associated with neuroendocrine transformation	curated (Claude knowledge; unverified)
BRCA2	germline	homologous recombination; PARP-inhibitor sensitivity	curated (Claude knowledge; unverified)
BRCA1	germline	homologous recombination	curated (Claude knowledge; unverified)
ATM	germline	DNA damage response	curated (Claude knowledge; unverified)
CDK12	somatic	tandem duplications; immunotherapy sensitivity	curated (Claude knowledge; unverified)
SPOP	somatic	recurrent point mutations	curated (Claude knowledge; unverified)
FOXA1	somatic	pioneer factor for AR	curated (Claude knowledge; unverified)
ERG	somatic	TMPRSS2-ERG fusion	curated (Claude knowledge; unverified)
TMPRSS2	somatic	fusion partner; androgen-regulated protease	curated (Claude knowledge; unverified)
MYC	somatic	amplification	curated (Claude knowledge; unverified)
KLK3	biology	PSA; androgen-regulated biomarker	curated (Claude knowledge; unverified)
KLK2	clinical_trial	radioligand / T-cell engager targets	curated (Claude knowledge; unverified)
NKX3-1	biology	prostate lineage; haploinsufficient tumour suppressor	curated (Claude knowledge; unverified)
HOXB13	germline	G84E risk allele	curated (Claude knowledge; unverified)
CHEK2	germline	DNA damage checkpoint	curated (Claude knowledge; unverified)
MSH2	germline	mismatch repair; immunotherapy sensitivity	curated (Claude knowledge; unverified)
MSH6	germline	mismatch repair	curated (Claude knowledge; unverified)
PIK3CB	biology	PI3K beta, dominant isoform in PTEN-null cells	curated (Claude knowledge; unverified)
MTOR	clinical_trial	PI3K/AKT/mTOR pathway	curated (Claude knowledge; unverified)
EZH2	clinical_trial	EZH2 inhibitors combined with AR blockade	curated (Claude knowledge; unverified)
CDK4	clinical_trial	cell-cycle	curated (Claude knowledge; unverified)
AURKA	biology	neuroendocrine prostate cancer	curated (Claude knowledge; unverified)
DLL3	clinical_trial	neuroendocrine prostate cancer; T-cell engagers	curated (Claude knowledge; unverified)
STEAP1	clinical_trial	xaluritamig (T-cell engager)	curated (Claude knowledge; unverified)
PSCA	clinical_trial	CAR-T / antibody target	curated (Claude knowledge; unverified)
TACSTD2	clinical_trial	TROP2 antibody-drug conjugates	curated (Claude knowledge; unverified)
CD276	clinical_trial	B7-H3 antibody-drug conjugates	curated (Claude knowledge; unverified)
SRD5A2	biology	5-alpha-reductase; androgen activation	curated (Claude knowledge; unverified)
HSD3B1	germline	1245C variant; extragonadal androgen synthesis	curated (Claude knowledge; unverified)
NR3C1	biology	glucocorticoid receptor; AR-blockade resistance	curated (Claude knowledge; unverified)
BCL2	biology	anti-apoptotic	curated (Claude knowledge; unverified)
CDH1	biology	epithelial adhesion; invasion	curated (Claude knowledge; unverified)
SLCO2B1	biology	steroid uptake transporter; abiraterone response	curated (Claude knowledge; unverified)
